name,height,weight,reach,stance,dob
Oleksandr Doskalchuk,167.6,125.0,,Southpaw,"Mar 13, 1990"
David Douglas,180.3,155.0,,,"Aug 16, 1981"
Damion Douglas,,170.0,,,"Aug 16, 1982"
Lerryan Douglas,175.3,145.0,72.0,Orthodox,"Apr 27, 1995"
Cedric Doumbe,177.8,170.0,,,"Aug 13, 1992"
John Dowdy,,,,,
Jordan Dowdy,,170.0,,,
Danny Downes,182.9,155.0,72.0,Orthodox,"Apr 08, 1986"
Derek Downey,185.4,185.0,,Orthodox,"Apr 27, 1980"
John Doyle,180.3,205.0,,Orthodox,"Nov 21, 1976"
Edson Drago,193.0,220.0,,Orthodox,"Aug 29, 1977"
Jimmy Drago,177.8,170.0,71.0,Orthodox,"Feb 18, 1995"
Anthony Drilich,165.1,125.0,65.0,Southpaw,"Mar 17, 1994"
Kyle Driscoll,180.3,145.0,74.0,Orthodox,"Sep 23, 1994"
Chris Drumm,172.7,145.0,,,
Tomasz Drwal,185.4,205.0,76.0,Orthodox,"Jan 22, 1982"
Robert Drysdale,190.5,205.0,,Orthodox,"Oct 05, 1981"
Dricus Du Plessis,185.4,185.0,76.0,Switch,"Jan 14, 1994"
Hugo Duarte,182.9,240.0,,Orthodox,"Aug 09, 1968"
Antonio Duarte,170.2,135.0,,,"Mar 10, 1987"
Joe Duarte,,155.0,,,"Jan 25, 1977"
Yuneisy Duben,162.6,125.0,65.0,Orthodox,"Jul 08, 1996"
Matthieu Duclos,190.5,185.0,77.0,Orthodox,"Apr 04, 1995"
Emily Ducote,157.5,115.0,63.0,Orthodox,"Jan 01, 1994"
Viktoriia Dudakova,165.1,115.0,67.0,Orthodox,"Jan 26, 1999"
Milana Dudieva,160.0,135.0,,Orthodox,"Aug 04, 1989"
Adin Duenas,167.6,145.0,,,"Jul 02, 1988"
Todd Duffee,190.5,260.0,78.0,Orthodox,"Dec 06, 1985"
Joe Duffy,177.8,155.0,73.0,Orthodox,"Feb 18, 1988"
Jack Duffy,170.2,125.0,69.0,Switch,"Oct 02, 1995"
Alexis Dufresne,175.3,135.0,,Orthodox,"Aug 31, 1990"
Jessamyn Duke,180.3,135.0,73.0,Orthodox,"Jun 24, 1986"
Islam Dulatov,190.5,170.0,75.0,Orthodox,"Aug 02, 1998"
Isaac Dulgarian,170.2,145.0,71.0,Orthodox,"Jul 04, 1996"
Kelly Dullanty,172.7,155.0,,Orthodox,"Nov 04, 1977"
Sedriques Dumas,188.0,185.0,79.0,Orthodox,"Aug 06, 1995"
Norma Dumont,170.2,135.0,67.0,Orthodox,"Oct 01, 1990"
Chris Duncan,177.8,155.0,71.0,Orthodox,"May 10, 1993"
Christian Leroy Duncan,188.0,185.0,79.0,Switch,"Jul 24, 1995"
Evan Dunham,177.8,155.0,70.0,Southpaw,"Dec 18, 1981"
Alex Dunworth,172.7,155.0,,,
Tom Duquesnoy,170.2,135.0,68.0,Orthodox,"Jun 21, 1993"
Albert Duraev,180.3,185.0,75.0,Orthodox,"Jan 05, 1989"
Reuben Duran,170.2,135.0,71.0,Orthodox,"Jul 02, 1983"
Cody Durden,170.2,125.0,67.0,Southpaw,"Mar 29, 1991"
Luiz Dutra,180.3,170.0,,Orthodox,"May 06, 1982"
Rilley Dutro,172.7,125.0,,Orthodox,"Sep 03, 1987"
Bill Duvall,188.0,185.0,,Southpaw,
Merab Dvalishvili,167.6,135.0,68.0,Orthodox,"Jan 10, 1991"
David Dvorak,165.1,125.0,68.0,Orthodox,"Jun 05, 1992"
Matt Dwyer,193.0,170.0,76.0,Orthodox,"Dec 17, 1989"
Rolando Dy,172.7,145.0,69.0,Orthodox,"Aug 11, 1990"
Shanelle Dyer,167.6,115.0,65.0,Orthodox,"Apr 23, 2001"
Ben Earwood,172.7,170.0,,Orthodox,
Cody East,190.5,245.0,,Orthodox,"Jun 29, 1988"
Marvin Eastman,175.3,185.0,73.0,Orthodox,"Jun 08, 1971"
Mike Easton,167.6,135.0,70.0,Southpaw,"Jan 25, 1984"
Maurice Eazel,170.2,135.0,,,
Vincent Eazelle,180.3,155.0,,,"Dec 07, 1980"
Ross Ebanez,175.3,154.0,,Southpaw,"May 18, 1975"
Brian Ebersole,182.9,170.0,73.0,Southpaw,"Nov 27, 1980"
Roybert Echeverria,165.1,125.0,67.0,Switch,"Aug 21, 1995"
Mark Eddiva,172.7,145.0,68.0,Orthodox,"Feb 16, 1986"
Frankie Edgar,167.6,135.0,68.0,Orthodox,"Oct 16, 1981"
Abdul-Kerim Edilov,188.0,205.0,,Orthodox,"Nov 25, 1991"
Johnny Eduardo,170.2,135.0,71.0,Orthodox,"Aug 03, 1978"
Yves Edwards,175.3,155.0,73.0,Southpaw,"Sep 30, 1976"
Justin Edwards,177.8,155.0,70.0,Orthodox,"Jan 26, 1983"
Leon Edwards,188.0,170.0,74.0,Southpaw,"Aug 25, 1991"
Te Edwards,172.7,155.0,72.0,Orthodox,"Sep 11, 1990"
Adli Edwards,,145.0,,,"Aug 28, 1989"
Joselyne Edwards,172.7,135.0,70.0,Orthodox,"Sep 29, 1995"
Tom Egan,180.3,170.0,,Orthodox,
Stephanie Egger,167.6,135.0,68.0,Orthodox,"Aug 12, 1988"
Justin Eilers,185.4,235.0,,Orthodox,"Jun 28, 1978"
Jon Olav Einemo,198.1,253.0,,Orthodox,"Dec 10, 1975"
Per Eklund,177.8,155.0,72.0,Orthodox,"Nov 12, 1980"
John Elam,,,,,
Evan Elder,177.8,155.0,72.0,Switch,"Apr 11, 1997"
Billy Elekana,190.5,205.0,77.0,Southpaw,"May 28, 1995"
John Paul Elias,193.0,205.0,,,
Joao Elias,160.0,125.0,64.0,Southpaw,"Jan 08, 1995"
Saul Elizondo,170.2,135.0,,,"Jul 17, 1985"
Darren Elkins,177.8,145.0,71.0,Orthodox,"May 16, 1984"
Jake Ellenberger,175.3,170.0,71.0,Orthodox,"Mar 28, 1985"
Joe Ellenberger,175.3,155.0,72.0,Orthodox,"Mar 28, 1985"
Tim Elliott,170.2,125.0,66.0,Southpaw,"Dec 24, 1986"
Oban Elliott,182.9,170.0,72.0,Orthodox,"Dec 19, 1997"
Eddy Ellis,175.3,170.0,,Orthodox,"Jul 07, 1983"
Lisa Ellis,162.6,115.0,,,"Nov 15, 1982"
Elisha Ellison,182.9,238.0,78.0,Orthodox,"Mar 05, 1997"
Anna Elmose,160.0,115.0,,Orthodox,"Oct 06, 1984"
Cameron Else,175.3,135.0,71.0,Switch,"Apr 27, 1987"
Aaron Ely,172.7,135.0,,,"Mar 18, 1989"
Sovannahry Em,162.6,135.0,,,"Jun 26, 1992"
Ramazan Emeev,177.8,170.0,76.0,Southpaw,"May 23, 1987"
Aleksander Emelianenko,198.1,255.0,,Orthodox,"Aug 02, 1981"
Fedor Emelianenko,182.9,230.0,74.0,Orthodox,"Sep 28, 1976"
Rob Emerson,175.3,155.0,70.0,Orthodox,"Jul 30, 1981"
Jamall Emmers,177.8,145.0,74.0,Orthodox,"Jul 24, 1989"
Josh Emmett,167.6,145.0,70.0,Orthodox,"Mar 04, 1985"
Marius Enache,180.3,155.0,,,"Oct 16, 1975"
Kevin Engel,188.0,170.0,,,
Kolton Englund,177.8,155.0,69.0,Orthodox,"Jul 09, 1993"
Oliver Enkamp,182.9,170.0,77.0,Switch,"Aug 10, 1991"
Alex Enlund,177.8,145.0,,Orthodox,"May 27, 1987"
Kenny Ento,188.0,192.0,,,
Ian Entwistle,165.1,135.0,,Orthodox,"Nov 19, 1986"
Andy Enz,190.5,185.0,78.0,Orthodox,"Aug 15, 1991"
Won Jin Eoh,170.2,160.0,,Orthodox,
Yuji Ephoevi-Ga,182.9,155.0,75.0,Switch,"Oct 19, 1999"
Josh Epps,,130.0,,,"Aug 23, 1986"
Abdellah Er-Ramy,182.9,185.0,74.0,Orthodox,"Sep 19, 1996"
Steve Erceg,172.7,125.0,68.0,Orthodox,"Jul 27, 1995"
Tom Erikson,190.5,280.0,,Orthodox,"Jul 06, 1964"
Konstantin Erokhin,180.3,230.0,,Orthodox,"Jan 31, 1983"
Julian Erosa,185.4,145.0,74.0,Southpaw,"Jul 31, 1989"
Jarno Errens,180.3,145.0,73.0,Orthodox,"Nov 17, 1994"
Ivan Erslan,188.0,205.0,72.0,Orthodox,"Nov 15, 1991"
Nick Ertl,175.3,155.0,,,"Oct 29, 1968"
Chel Erwin-Davis,182.9,170.0,,,
Bobby Escalante,,130.0,,,
Eric Esch,180.3,350.0,,Orthodox,"Aug 03, 1968"
Pro Escobedo,,205.0,,,
Cole Escovedo,170.2,135.0,72.0,Orthodox,"Aug 30, 1981"
Efrain Escudero,175.3,155.0,71.0,Orthodox,"Jan 15, 1986"
Evan Esguerra,,145.0,,,"Jul 13, 1978"
Carla Esparza,154.9,115.0,63.0,Orthodox,"Oct 10, 1987"
Juan Espino,190.5,255.0,80.0,Orthodox,"Oct 09, 1980"
Jordan Espinosa,167.6,125.0,69.0,Orthodox,"Nov 08, 1989"
Jodie Esquibel,154.9,115.0,64.0,Orthodox,"May 07, 1986"
Rafael Estevam,172.7,135.0,69.0,Orthodox,"Aug 10, 1996"
Achilles Estremadura,177.8,155.0,68.0,Orthodox,"Mar 11, 1992"
Shaun Etchell,170.2,125.0,68.0,Switch,"Aug 05, 1993"
Terry Etim,185.4,155.0,73.0,Orthodox,"Jan 11, 1986"
Fred Ettish,182.9,180.0,,Southpaw,"Oct 12, 1955"
Scott Ettling,,135.0,,,
Sijara Eubanks,162.6,125.0,67.0,Orthodox,"Apr 27, 1985"
Billy Evangelista,172.7,155.0,68.0,Orthodox,"Oct 07, 1980"
Rashad Evans,182.9,205.0,75.0,Orthodox,"Sep 25, 1979"
Doug Evans,175.3,155.0,,Orthodox,"Oct 10, 1980"
Ashlee Evans-Smith,172.7,135.0,67.0,Orthodox,"Jul 09, 1987"
Dan Evensen,190.5,250.0,,Orthodox,"Jun 01, 1974"
Tonya Evinger,170.2,135.0,70.0,Orthodox,"Jun 04, 1981"
Movsar Evloev,170.2,145.0,72.0,Orthodox,"Feb 11, 1994"
Andre Ewell,172.7,145.0,75.0,Southpaw,"Jan 21, 1988"
Chris Ewert,182.9,185.0,75.0,Orthodox,"Sep 06, 1993"
Neal Ewing,,185.0,,,"Sep 30, 1985"
Ethyn Ewing,167.6,135.0,69.0,Orthodox,"Feb 16, 1998"
Manuel Exposito,170.2,145.0,68.0,Orthodox,"May 09, 2000"
Jessica Eye,167.6,125.0,66.0,Orthodox,"Jul 27, 1986"
Edward Faaloloto,,155.0,70.0,Orthodox,"Jul 15, 1984"
Urijah Faber,167.6,135.0,67.0,Orthodox,"May 14, 1979"
Melinda Fabian,167.6,125.0,66.0,Orthodox,"Jun 25, 1987"
Wagnney Fabiano,167.6,145.0,69.0,Southpaw,"Jul 14, 1975"
Bartosz Fabinski,182.9,170.0,75.0,Orthodox,"Apr 26, 1986"
Ron Faircloth,175.3,205.0,,Orthodox,"Aug 16, 1979"
Jason Fairn,185.4,230.0,,,
Zarah Fairn,172.7,135.0,72.0,Orthodox,"Dec 10, 1983"
Rinat Fakhretdinov,182.9,170.0,74.0,Orthodox,"Sep 28, 1991"
Maiquel Falcao,180.3,185.0,,Orthodox,"Mar 08, 1981"
Pedro Falcao,167.6,135.0,66.0,Orthodox,"Jul 30, 1992"
Brodie Farber,185.4,170.0,,Orthodox,"Jul 05, 1980"
Joao Paulo Faria,175.3,155.0,,,
Kalindra Faria,170.2,125.0,,Switch,"Jul 23, 1986"
Jair Farias,185.4,145.0,76.0,Orthodox,"Mar 16, 1993"
Chance Farrar,175.3,145.0,,Southpaw,"Sep 11, 1975"
Rico Farrington,193.0,170.0,79.0,Southpaw,"Jun 19, 1989"
Kelly Faszholz,172.7,135.0,,Orthodox,"Apr 09, 1985"
Rodney Faverus,182.9,215.0,,Southpaw,"Jan 03, 1975"
Paul Felder,180.3,155.0,70.0,Orthodox,"Apr 25, 1984"
Carlos Felipe,182.9,245.0,75.0,Orthodox,"Jan 12, 1995"
JP Felty,,170.0,,,"Apr 28, 1979"
Feng Pengchao,,135.0,,,
Feng Xiaocan,170.2,115.0,67.0,Southpaw,"Oct 27, 2001"
Kevin Ferguson,188.0,235.0,77.0,Orthodox,"Feb 08, 1974"
Rhadi Ferguson,170.2,205.0,,,
Tony Ferguson,180.3,170.0,76.0,Orthodox,"Feb 12, 1984"
Josh Ferguson,165.1,125.0,,Orthodox,"May 13, 1988"
CJ Fernandes,188.0,170.0,,,"Nov 13, 1977"
Bibiano Fernandes,170.2,139.0,,Orthodox,"Mar 30, 1980"
Gabriella Fernandes,167.6,125.0,66.0,Southpaw,"Aug 13, 1993"
Kaue Fernandes,175.3,155.0,73.0,Orthodox,"Mar 17, 1995"
Emily Fernandez,,,,,
Luke Fernandez,185.4,205.0,76.0,Orthodox,"Jun 29, 1995"
Lucas Fernando,190.5,185.0,80.0,,"Jan 10, 1997"
Alexandre Ferreira,170.2,205.0,,Orthodox,"Apr 25, 1979"
Cezar Ferreira,185.4,185.0,78.0,Southpaw,"Feb 15, 1985"
Diego Ferreira,175.3,155.0,74.0,Orthodox,"Jan 18, 1985"
Erisson Ferreira,167.6,125.0,70.0,Orthodox,"May 03, 1991"
Brunno Ferreira,177.8,185.0,72.0,Orthodox,"Nov 04, 1992"
Scott Ferrozzo,180.3,323.0,,Orthodox,"Apr 26, 1965"
Timo Feucht,190.5,205.0,79.0,Orthodox,"Jan 18, 1996"
Andre Fialho,182.9,170.0,74.0,Orthodox,"Apr 07, 1994"
Drew Fickett,177.8,155.0,70.0,Orthodox,"Dec 14, 1979"
Scott Fiedler,193.0,235.0,,Orthodox,
Ron Fields,188.0,200.0,,Orthodox,"Nov 18, 1974"
Michal Figlak,177.8,155.0,70.0,Orthodox,"Aug 15, 1996"
Deiveson Figueiredo,165.1,135.0,68.0,Orthodox,"Dec 18, 1987"
Francisco Figueiredo,167.6,125.0,68.0,Southpaw,"Oct 23, 1989"
Anthony Figueroa,162.6,135.0,,Orthodox,
Edwin Figueroa,170.2,135.0,69.0,Orthodox,"Jul 31, 1984"
Jonathan Figueroa,,185.0,,,"Feb 05, 1995"
Paulo Filho,172.7,185.0,,Southpaw,"May 24, 1978"
Jafel Filho,170.2,125.0,68.0,Orthodox,"May 05, 1993"
Andre Fili,180.3,145.0,74.0,Orthodox,"Jun 25, 1990"
Mirko Filipovic,188.0,230.0,73.0,Southpaw,"Sep 10, 1974"
Brady Fink,182.9,183.0,,Orthodox,"May 23, 1981"
Jesse Finney,182.9,170.0,,,"Jul 11, 1974"
Jan Finney,172.7,135.0,,Orthodox,"Apr 18, 1980"
Torrez Finney,172.7,185.0,75.0,Orthodox,"Oct 24, 1998"
Luigi Fioravanti,172.7,170.0,70.0,Orthodox,"Jan 22, 1981"
Nick Fiore,177.8,155.0,72.0,Orthodox,"Dec 10, 1997"
Manon Fiorot,170.2,125.0,65.0,Orthodox,"Feb 17, 1990"
Luiz Firmino,167.6,154.0,,Orthodox,"Mar 18, 1982"
Spencer Fisher,170.2,155.0,68.0,Southpaw,"May 09, 1976"
Chris Fishgold,172.7,145.0,68.0,Orthodox,"Jun 06, 1992"
Bryanna Fissori,162.6,145.0,,,
Jon Fitch,182.9,170.0,74.0,Orthodox,"Feb 24, 1978"
Isi Fitikefu,177.8,205.0,,,
Rafael Fiziev,172.7,155.0,71.0,Switch,"Mar 05, 1993"
Colin Fletcher,188.0,155.0,,Orthodox,"Jan 08, 1983"
AJ Fletcher,177.8,170.0,67.0,Switch,"Feb 18, 1997"
Nathan Fletcher,170.2,135.0,70.0,Orthodox,"Jan 03, 1998"
Jimmy Flick,170.2,125.0,68.0,Orthodox,"Sep 07, 1990"
Luke Flores,182.9,155.0,73.0,Southpaw,"Mar 17, 1988"
Ty Flores,190.5,205.0,73.0,Switch,"Dec 22, 1993"
Alejandro Flores,177.8,145.0,73.0,Orthodox,"Aug 06, 1991"
Kenny Florian,177.8,145.0,74.0,Southpaw,"May 26, 1976"
Darrius Flowers,175.3,155.0,71.0,Orthodox,"Aug 25, 1994"
Cody Floyd,,,,,"Jul 18, 1988"
Bobby Flynn,,170.0,,,
Caros Fodor,175.3,155.0,74.0,Orthodox,"Jan 07, 1984"
Mal Foki,170.2,220.0,,Orthodox,"Mar 16, 1976"
Matt Foki,170.2,220.0,,Orthodox,"Mar 16, 1976"
AJ Fonseca,162.6,145.0,,,
Rob Font,172.7,135.0,71.0,Orthodox,"Jun 25, 1987"
Claudionor Fontinelle,165.1,185.0,,Orthodox,
Jesse Forbes,188.0,185.0,75.0,Southpaw,"Oct 24, 1984"
Sterling Ford,177.8,155.0,,,"Mar 12, 1986"
Codale Ford,175.3,170.0,,,"May 13, 1979"
Raheam Forest,180.3,170.0,73.0,Switch,"Jul 11, 1997"
Jussier Formiga,165.1,125.0,67.0,Orthodox,"Apr 14, 1985"
Carol Foro,157.5,115.0,61.0,Orthodox,"Mar 21, 1997"
Renee Forte,170.2,155.0,71.0,Orthodox,"Mar 27, 1987"
Brianna Fortino,152.4,115.0,62.0,Southpaw,"Aug 04, 1993"
Marcel Fortuna,185.4,205.0,74.0,Orthodox,"Oct 22, 1985"
Tyrell Fortune,,259.0,,,"Jul 04, 1990"
Brian Foster,175.3,170.0,71.0,Orthodox,"Apr 03, 1984"
Xavier Foupa-Pokam,185.4,185.0,,Open Stance,"Jul 03, 1982"
Mason Fowler,180.3,170.0,,,
Brandon Foxworth,180.3,145.0,,Orthodox,"Apr 28, 1979"
Hermes Franca,167.6,155.0,71.0,Orthodox,"Aug 26, 1974"
Glaico Franca Moreira,182.9,155.0,77.0,Orthodox,"Feb 28, 1991"
Francisco France,182.9,205.0,,,"Jan 21, 1983"
John Franchi,167.6,145.0,67.0,Orthodox,"Jul 16, 1982"
Felipe Franco,185.4,205.0,76.0,Orthodox,"Jan 22, 2001"
Rich Franklin,185.4,185.0,76.0,Southpaw,"Oct 05, 1974"
Xavier Franklin,167.6,135.0,66.0,Southpaw,"Oct 15, 1996"
Zoila Frausto,162.6,135.0,,Orthodox,"Dec 10, 1983"
Stephanie Frausto,157.5,115.0,61.0,Orthodox,"Sep 20, 1990"
Zane Frazier,195.6,250.0,,Orthodox,
Gary Frazier,182.9,245.0,,Orthodox,"Mar 31, 1988"
Justin Frazier,182.9,265.0,75.0,Southpaw,"Jun 15, 1989"
Ian Freeman,180.3,225.0,,Orthodox,"Nov 10, 1966"
Jason Freeman,188.0,225.0,,,"Sep 02, 1976"
Kennedy Freeman,,125.0,,,"Nov 26, 1996"
Denzel Freeman,185.4,265.0,77.0,Southpaw,"Nov 10, 1991"
Willamy Freire,172.7,155.0,,Orthodox,"Jul 28, 1987"
Patricio Freire,167.6,145.0,67.0,Orthodox,"Jul 07, 1987"
Patricky Freire,170.2,155.0,71.0,,"Jun 01, 1986"
Jeremy  Freitag,185.4,205.0,,,
Rafael Freitas,,205.0,,Orthodox,
Donavon Frelow,170.2,135.0,,Orthodox,"Jan 20, 1985"
Josh Fremd,193.0,185.0,76.0,Orthodox,"Jan 15, 1994"
Clay French,170.2,161.0,,Southpaw,"Oct 07, 1980"
Mike French,177.8,145.0,,,"May 29, 1975"
Matt Frevola,175.3,155.0,71.0,Orthodox,"Jun 11, 1990"
Jinh Yu Frey,160.0,115.0,65.0,Southpaw,"May 20, 1985"
Artem Frolov,177.8,185.0,,,"Sep 07, 1991"
Sarah Frota,167.6,125.0,69.0,Southpaw,"Apr 14, 1987"
Daniel Frunza,185.4,170.0,73.0,Orthodox,"Apr 13, 1994"
Don Frye,185.4,219.0,,Orthodox,"Nov 23, 1965"
Allen Frye Jr.,195.6,265.0,80.0,Orthodox,"Apr 15, 1998"
Tony Fryklund,182.9,185.0,,Orthodox,"Mar 26, 1971"
Adam Fugitt,185.4,170.0,77.0,Southpaw,"Jan 12, 1989"
Jesse Fujarczyk,193.0,225.0,,Southpaw,"Jan 28, 1983"
Katsuhisa Fujii,182.9,205.0,,Orthodox,"Aug 15, 1972"
Megumi Fujii,160.0,113.0,,,"Apr 26, 1974"
Kazuyuki Fujita,182.9,235.0,,Orthodox,"Oct 16, 1970"
Keisuke Fujiwara,167.6,139.0,,Switch,"Sep 17, 1982"
Riki Fukuda,182.9,185.0,73.0,Southpaw,"Jan 06, 1981"
Masio Fullen,177.8,145.0,70.0,Orthodox,"Oct 06, 1986"
Travis Fulton,182.9,240.0,,Orthodox,"May 29, 1977"
Sam Fulton,,,,,
Masakatsu Funaki,182.9,185.0,,Southpaw,"Mar 13, 1969"
Ricardo Funch,177.8,170.0,74.0,Southpaw,"Aug 14, 1980"
Katsuaki Furuki,182.9,168.0,,,"Nov 10, 1980"
James Gabert,,178.0,,,
Gustavo Gabriel,167.6,125.0,,Orthodox,"Apr 01, 1994"
Claudia Gadelha,162.6,115.0,63.0,Orthodox,"Dec 07, 1988"
Alavutdin Gadjiev,188.0,185.0,,Orthodox,"Jun 23, 1982"
Magomed Gadzhiyasulov,188.0,205.0,75.0,Orthodox,"Nov 04, 1993"
Justin Gaethje,180.3,155.0,70.0,Orthodox,"Nov 14, 1988"
Sheila Gaff,165.1,135.0,,Orthodox,"Dec 29, 1989"
Muin Gafurov,170.2,135.0,68.0,Orthodox,"May 17, 1996"
Mitch Gagnon,165.1,135.0,65.0,Southpaw,"Oct 10, 1984"
Brandon Gaines,190.5,185.0,,,"Feb 24, 1982"
Travis Galbraith,182.9,170.0,,Orthodox,"May 18, 1981"
Dave Galera,180.3,135.0,,Orthodox,"Jan 12, 1978"
Zelg Galesic,188.0,185.0,,Orthodox,"Feb 16, 1979"
Mickey Gall,188.0,170.0,74.0,Switch,"Jan 22, 1992"
Daniel Gallemore,195.6,265.0,,,
Tom Gallicchio,177.8,170.0,,Southpaw,"Sep 23, 1986"
Turrell Galloway,160.0,145.0,,,"Aug 11, 1976"
Eric Galvan,,155.0,,,
Andre Galvao,170.2,168.0,,Orthodox,"Sep 29, 1982"
Marcos Galvao,170.2,135.0,,Orthodox,"Jun 23, 1981"
Lucas Gamaza,,170.0,,,
Joey Gambino,170.2,145.0,,Orthodox,"Oct 26, 1988"
Manvel Gamburyan,165.1,135.0,67.0,Orthodox,"May 08, 1981"
Mateusz Gamrot,177.8,155.0,70.0,Southpaw,"Dec 11, 1990"
Shamil Gamzatov,188.0,205.0,76.0,Orthodox,"Aug 09, 1990"
Ryan Gandra,185.4,185.0,74.0,Orthodox,"May 08, 1995"
Ariel Gandulla,180.3,205.0,,Orthodox,"May 07, 1968"
Ciryl Gane,193.0,247.0,81.0,Orthodox,"Apr 12, 1990"
Sean Gannon,190.5,265.0,,Southpaw,
Tommy Gantt,180.3,155.0,76.0,Orthodox,"Jan 09, 1993"
Junye Gao,,125.0,,,
Eduardo Garagorri,175.3,145.0,70.0,Orthodox,"May 28, 1989"
Cody Garbrandt,172.7,135.0,65.0,Orthodox,"Jul 07, 1991"
Leonard Garcia,177.8,145.0,68.0,Orthodox,"Jul 14, 1979"
Edgar Garcia,177.8,170.0,71.0,Orthodox,"Feb 22, 1984"
Alejandro Garcia,170.2,145.0,,,"Oct 20, 1980"
Alex Garcia,175.3,170.0,72.0,Orthodox,"Jul 14, 1987"
Nick Garcia,162.6,125.0,,,
Steve Garcia,182.9,145.0,75.0,Southpaw,"May 22, 1992"
Elias Garcia,165.1,125.0,67.0,Southpaw,"Sep 13, 1992"
Rafa Garcia,170.2,155.0,70.0,Orthodox,"Aug 05, 1994"
Fernie Garcia,170.2,135.0,67.0,Orthodox,"Apr 12, 1992"
Rulon Gardner,190.5,265.0,,Orthodox,"Aug 16, 1971"
David Gardner,180.3,155.0,,Orthodox,"May 17, 1977"
Pablo Garza,185.4,145.0,73.0,Orthodox,"Sep 16, 1983"
Azamat Gashimov,167.6,125.0,,Orthodox,"Apr 07, 1990"
Brian Gassaway,185.4,170.0,,Orthodox,"Aug 07, 1972"
Kelvin Gastelum,175.3,185.0,71.0,Southpaw,"Oct 24, 1991"
Willie Gates,172.7,125.0,72.0,Orthodox,"Jan 21, 1987"
Melissa Gatto,165.1,125.0,69.0,Orthodox,"May 02, 1996"
Sean Gauci,165.1,125.0,64.0,Switch,"Oct 07, 1996"
Louis Gaudinot,160.0,125.0,63.0,Orthodox,"Aug 28, 1984"
Ateba Gautier,193.0,185.0,81.0,Switch,"Apr 10, 2002"
Manuel Gaxhja,172.7,155.0,,Switch,"Jul 23, 1997"
Shamil Gaziev,193.0,265.0,78.0,Orthodox,"Feb 10, 1990"
Charlene Gellner,157.5,125.0,,,
Chad George,167.6,135.0,68.0,Southpaw,"Apr 30, 1982"
Paul Georgieff,188.0,170.0,,Orthodox,"Sep 22, 1982"
Brian Geraghty,170.2,155.0,,Orthodox,"Nov 04, 1980"
Derek Getzel,182.9,155.0,,,
Karine Gevorgyan,162.6,125.0,63.0,,"Mar 09, 1989"
Yanis Ghemmouri,175.3,135.0,69.0,Orthodox,"Jan 24, 1995"
Darrel Gholar,172.7,194.0,,Orthodox,"Nov 07, 1962"
Tiki Ghosn,177.8,170.0,,Orthodox,"Feb 09, 1977"
Christos Giagos,177.8,155.0,71.0,Orthodox,"Jan 23, 1990"
Joe Giannetti,182.9,155.0,74.0,Southpaw,"Jul 05, 1995"
Nick Gibbons,177.8,155.0,,,
James Giboo,180.3,170.0,,Orthodox,"Jan 06, 1978"
Lance Gibson,175.3,185.0,,Orthodox,"Nov 20, 1970"
Lee Gibson,170.2,155.0,,,"Jun 20, 1976"
Cody Gibson,177.8,135.0,71.0,Orthodox,"Sep 11, 1987"
Chase Gibson,177.8,155.0,72.0,Orthodox,"Feb 07, 1990"
Lance Gibson Jr.,175.3,155.0,72.0,,"Feb 02, 1995"
Kenny Giddens,180.3,155.0,,,"Jan 24, 1985"
Thomas Gifford,185.4,155.0,75.0,Orthodox,"Jul 26, 1992"
Joseph Gigliotti,180.3,185.0,,Orthodox,"Aug 13, 1993"
Joey Gilbert,180.3,155.0,,Orthodox,"Jun 05, 1976"
Trevin Giles,182.9,170.0,74.0,Orthodox,"Aug 06, 1992"
Kultar Gill,182.9,154.0,,Orthodox,"Mar 24, 1979"
Jesse Gillespie,,185.0,,,
Gregor Gillespie,170.2,155.0,71.0,Orthodox,"Nov 13, 1986"
Jason Gilliam,182.9,170.0,,Orthodox,"Oct 31, 1972"
Micheal Gillmore,180.3,170.0,72.0,Orthodox,"Mar 28, 1987"
Krishaun Gilmore,,,,,
Alex Gilpin,170.2,145.0,,Orthodox,"Mar 26, 1992"
Bob Gilstrap,190.5,200.0,,Orthodox,
Max Gimenis,188.0,256.0,75.0,Orthodox,"Apr 14, 1993"
Eperaim Ginting,162.6,135.0,64.0,Orthodox,"Nov 30, 1995"
Demetrius Gioulacos,180.3,185.0,,,
Billy Giovanella,172.7,125.0,,,"Aug 20, 1985"
He-Man Gipson,,,,,
Israel Giron,172.7,155.0,,,"Jan 16, 1974"
Brandon Girtz,170.2,155.0,,,"Mar 06, 1985"
Jason Glaza,182.9,230.0,,,
Mike Glenn,,205.0,,,"Oct 09, 1977"
Ricky Glenn,182.9,170.0,70.0,Southpaw,"Apr 12, 1989"
Ivan Gnizditskiy,,205.0,,,"May 10, 1996"
Mark Godbeer,193.0,240.0,77.0,Orthodox,"Nov 22, 1983"
Clint Godfrey,167.6,135.0,,Southpaw,"Oct 21, 1982"
Loopy Godinez,157.5,115.0,61.0,Orthodox,"Sep 06, 1993"
Jason Godsey,188.0,230.0,,Orthodox,"Jan 01, 1964"
Allan Goes,182.9,205.0,,Orthodox,"Apr 20, 1971"
Billy Ray Goff,177.8,170.0,72.0,Switch,"Jun 18, 1998"
Amiran Gogoladze,185.4,170.0,74.0,Switch,"Dec 09, 1997"
Jonny Goh,180.3,155.0,,,
Hannah Goldy,162.6,115.0,61.0,Orthodox,"May 18, 1992"
